logdet_cut_optval,logdet_optval,logdet_rank,sdp_cut_optval,sdp_optval,sdp_rank
5430,5595,6,5439,5595,19
5454,5628.9,6,5457,5628.9,15
5411,5578.5,8,5411,5578.5,19
5423,5598.3,7,5440,5598.3,11
5329,5523.6,8,5362,5523.6,11
5498,5645.3,8,5488,5645.3,10
5525,5685.3,7,5511,5685.3,13
5477,5635.6,8,5478,5635.6,15
5446,5599.8,7,5451,5599.8,8
5534,5693.5,8,5528,5693.5,9
5510,5659.2,6,5490,5659.2,10
5523,5687.7,8,5534,5687.7,9
5456,5606.7,8,5441,5606.7,11
5468,5622.1,8,5441,5622.1,11
5432,5585.7,7,5432,5585.7,19
5464,5601.2,8,5465,5601.2,11
5455,5614.5,7,5446,5614.5,9
5436,5608,8,5443,5608,9
5454,5590.1,7,5445,5590.1,9
5444,5614.9,7,5466,5614.9,9
5535,5694,7,5517,5694,10
5410,5551.5,7,5384,5551.5,18
5490,5653,7,5481,5653,10
5514,5675.7,7,5501,5675.7,10
5478,5652.6,7,5489,5652.6,9
5504,5660.9,7,5513,5660.9,8
5453,5625.1,8,5452,5625.1,11
5423,5582.4,7,5408,5582.4,20
5452,5606.2,7,5446,5606.2,24
5488,5664.4,7,5478,5664.4,15
5525,5691.1,7,5559,5691.1,8
5417,5564.9,7,5386,5564.9,16
5427,5573.9,8,5424,5573.9,11
5397,5558.5,7,5406,5558.5,14
5364,5535.1,8,5390,5535.1,10
5448,5614.2,8,5446,5614.2,15
5457,5629.6,9,5455,5629.6,11
5515,5672.8,6,5514,5672.8,16
5486,5658.9,8,5474,5658.9,13
5475,5638,7,5480,5638,12
5481,5661.6,8,5484,5661.6,9
5519,5688.6,7,5534,5688.6,16
5420,5580.9,7,5432,5580.9,12
5339,5507.8,7,5330,5507.8,9
5443,5599.9,7,5433,5599.9,12
5414,5574.7,7,5411,5574.7,7
5449,5597.3,7,5445,5597.3,12
5547,5689.4,7,5546,5689.4,10
5438,5601.7,6,5442,5601.7,21
5397,5575.4,8,5422,5575.4,8
5447,5606.4,7,5438,5606.4,17
5508,5676.6,8,5523,5676.6,20
5454,5599.9,7,5431,5599.9,9
5510,5667.5,7,5501,5667.5,26
5442,5600.4,8,5435,5600.4,15
5486,5656.5,7,5502,5656.5,18
5569,5724.2,7,5576,5724.2,8
5460,5610,7,5430,5610,14
5481,5621.1,7,5488,5621.1,10
5452,5618.5,7,5446,5618.5,18
5454,5623.2,8,5437,5623.2,10
5452,5607.5,7,5431,5607.5,10
5501,5663,8,5527,5663,15
5525,5671.8,7,5520,5671.8,21
5459,5627.7,8,5483,5627.7,10
5446,5635.9,8,5489,5635.9,19
5534,5690.6,8,5521,5690.6,14
5552,5693.6,6,5545,5693.6,8
5494,5654.3,7,5479,5654.3,12
5538,5708.4,7,5534,5708.4,12
5413,5577.4,8,5403,5577.4,14
5483,5637.9,7,5450,5637.9,12
5446,5602.8,6,5453,5602.8,12
5418,5584,7,5453,5584,22
5438,5592.4,7,5459,5592.4,14
5432,5603.5,7,5424,5603.5,9
5459,5628.9,7,5457,5629,11
5486,5655,7,5493,5655,13
5441,5606.1,8,5432,5606.1,10
5488,5656.9,8,5504,5656.9,11
5410,5587,8,5411,5587,20
5431,5603.6,7,5453,5603.6,10
5449,5616.5,7,5432,5616.5,16
5417,5579.4,7,5412,5579.4,11
5496,5674.1,7,5518,5674.1,11
5453,5616.1,7,5445,5616.1,10
5469,5645.5,8,5474,5645.5,8
5507,5665.4,7,5490,5665.4,17
5503,5657.7,8,5510,5657.7,26
5509,5662,8,5493,5662,11
5494,5642.7,7,5489,5642.7,10
5420,5592.5,7,5415,5592.5,21
5422,5599.3,7,5444,5599.3,25
5459,5591.8,8,5439,5591.8,17
5441,5590.3,7,5415,5590.3,13
5493,5649.8,7,5482,5649.8,9
5477,5655.9,7,5468,5655.9,24
5493,5670.5,7,5523,5670.5,12
5463,5632.7,7,5458,5632.7,26
5516,5672.9,7,5505,5672.9,14
