SDP,LogDet
28792.3610086813,27816.5009837626
26892.1628285827,26431.3735338057
28587.7801163664,25519.7820608156
29568.6483595225,27444.0209633198
27301.1277960627,28518.8412394297
27433.1379086924,26068.3975598261
27320.154227295,27572.2582254064
27108.6389586257,29761.858382919
26890.3903822478,25976.6716253308
27432.9044780404,27498.7708096271
27568.1207521222,26931.5081955293
26641.5041114651,27611.6996543842
27436.9149391297,27421.7193559344
27463.8659666997,26160.9997468722
29056.0624666983,29675.8609841472
27468.0380125576,27600.5432450036
28832.7742927672,28039.8751378622
26836.4150207658,27868.0003714305
29767.4182941433,29375.4424912674
27107.6451973506,27394.0140194155
26643.8812801574,29446.559523552
25762.5054132089,27749.0572235149
28492.671580751,29568.6483595225
28920.7881371935,27421.8421825614
27890.8872844708,28278.0593989899
29611.1746467306,25889.9548775434
29026.336390749,26991.6074637536
27271.0655002133,27939.4371364826
28243.0361092551,29124.6956451193
26773.5090986828,26311.1729927535
28997.5638021075,26733.0243483464
26900.7369131601,28546.5358533141
29274.0448557755,27498.7708096271
24865.5289051783,26993.112434162
27847.1037911676,26733.0243483464
25651.3056065762,26650.4567742341
27958.1176186867,25973.2617638089
26775.6135646642,27862.0982397207
28989.3398528404,27421.8421825614
29467.2755044539,27215.6355585775
29220.0583261434,29375.4424912674
27525.10259167,27684.0440422589
26539.6496027798,27136.4220296324
27694.6343614497,25725.972212415
28606.3600972619,29196.7214679046
26750.1475859994,27265.0220329619
28119.6974464215,26730.2706575405
27933.3647025656,27206.4176827781
27600.9829712546,29027.9970611695
25513.4480186304,27425.9815844011
25894.1093266027,26541.5704814487
28929.6975934379,27235.8918427592
27399.2255970167,28874.0550488743
25580.4093360659,26521.7174334732
26291.8011488211,28900.0541524728
26553.4733662961,27439.0685154231
29474.6728256655,29299.6673394353
28914.733328349,29103.1334640041
27288.5049413012,27463.6935809173
28690.3521121894,29028.2234917286
27158.3896415659,26145.8164651135
25321.4604186166,27058.1196839845
29589.2307823076,27107.2162341561
28349.169739283,27264.6160488341
26694.0676608177,26167.9533755416
29909.3869719002,27350.0417105864
27388.4674646087,26970.7937631381
27777.4697314019,27192.9690006629
26751.3445908425,28114.3813505358
25689.26956034,29028.2234917286
29430.3963995028,26226.3670229249
26319.2497866849,29060.9499640231
26876.3534917442,27739.6195019154
27483.337232695,28003.0451935611
29076.7948536602,26412.3079021131
26753.0088794355,26259.5769156798
27173.4564828197,28380.5243501554
26628.6834560712,29061.2018306408
27619.9945305961,26383.6089798053
29222.6300660991,25982.0673970638
29621.5272304898,28965.6172667315
28400.038049783,27994.0376048455
27517.7727079192,26614.0386861413
26799.7811633828,29027.9970611695
26822.4372689131,29223.9061152928
28704.624068406,29446.559523552
22732.0812418187,25719.7878870924
26401.4020828566,28398.5296996683
27534.7636492079,26933.3265048536
26767.4872723256,27218.452447945
25474.9949475149,27916.5413910017
26756.9288605282,27546.7075827722
27893.7243049105,27546.7075827722
26960.3290670452,26600.2448162233
26741.9444670022,28475.6111250268
28790.5417111743,27328.7578303926
27821.7985854395,27805.7271952623
27473.0635883787,28033.3474009358
25160.8529275947,26487.7541361977
27349.2368467164,27635.0740057504
26085.4709928043,27893.7243049105
25889.3830181072,28518.8412394297
27615.1196728713,26711.2296152323
24576.0028858294,27893.7243049105
27514.7455877589,26505.5282109527
27840.6191660494,26927.3141068798
28129.4658466017,26870.5534909013
27893.7243049105,27893.7243049105
27180.8954180437,28415.8811618266
27157.8618848727,27230.1626563257
28083.2540847898,28569.8589403019
26050.3077678548,27805.7271952623
28921.9543874367,27197.8483173776
28045.1827452956,27557.0470201321
25990.2755241145,29622.4192261983
24437.5376508926,26953.1134750163
26756.2746090177,27817.127731166
24804.4243208317,29660.0506274993
27754.626569258,26577.7364652813
26052.1337535444,29027.8726010472
29251.4102391442,29664.3835061498
27250.388225055,27747.4545240724
29052.5162413025,26509.8338861289
27193.3748543414,27114.0633588869
29517.3581087004,25761.2373084448
27790.85842815,27379.7232365125
27766.0855458494,26659.2033142385
27857.4250548534,28030.1004850124
23932.6075815457,27805.7271952623
25731.9698103401,26025.9781290934
26507.8483044346,25719.7878870924
27131.2016590119,26844.8117586916
26978.7079275559,28511.6180219972
28094.9164932205,28616.6636789531
26593.6625448724,27185.8605056606
26063.7496265373,26243.7334516373
29247.3421206022,27773.3255309532
28063.6606653212,28512.9262232591
26431.1823322774,28261.2241775199
27868.9263244568,27767.7784551357
27359.4472901578,28416.0823719883
28808.4886305677,29701.0649235191
27579.0627051363,27020.1309653258
29168.1180835173,27767.7784551357
29307.5258488253,29790.7349619047
28225.2061523029,25696.3217183147
27708.7878824151,27792.2778059412
28509.8719660115,26979.1276066296
26448.1385736136,27510.0556780254
29052.5162413025,29568.6483595225
29433.35676922,26527.7224170232
28146.2537850977,25772.156239886
28164.9625698219,27408.3780937464
26136.5768699177,28398.5296996683
26907.4330574551,27951.0440965771
30059.8502723773,27611.6996543842
29993.2640144685,26248.9638950831
27758.1105988236,27998.0928477746
28477.1717746944,29291.2267768507
26686.5846645507,28352.7897530741
29571.2008402267,28012.0581592294
26709.0426268443,27434.4445009611
26966.399406576,27958.1176186867
28401.661525892,27391.4782843051
27078.7636992237,27645.3501864598
26166.1682784679,28638.4125515284
26881.9566663766,29848.6204439787
26926.802139393,28335.7876868402
29065.432781285,28522.2637340613
27540.5250038419,27740.9670257228
28775.6884614427,29291.2267768507
26681.9630231254,26586.3058051927
29092.2463201807,27253.0092483244
27806.5311474584,26428.3684654778
29693.680392175,28690.3450227843
27851.5741830028,27708.6415262637
25066.8959208687,28183.0560346811
28077.3906443068,27391.6358791614
26276.5264529472,26545.0116911723
26610.8929141299,27805.7271952623
26541.1408268427,27898.3962932857
29990.5960969511,26268.4867092699
26541.3366607101,27233.1821845979
26625.4733526576,26804.5824465322
25132.0722917169,26158.8055929677
27054.3103341064,26223.7528422496
29310.4404249812,26927.0087555639
24059.9374721701,27624.4546691504
26230.6260967559,27227.4400866116
26991.6074637536,25976.4813783663
26059.5777537626,27695.0611902263
28356.7804219896,27571.0931302574
25850.552882169,28805.7008612154
27842.2569644876,27404.8149779005
24720.7053604088,26646.9328951383
26965.8969785621,27850.9867581654
25820.6151589258,27872.8587476224
25553.5081265957,27800.6995590658
27758.0652484623,26320.0932594056
26548.524887444,27313.3886757671
27600.3946609356,26714.8324720323
24749.7842535049,27600.5432450036
25141.7101241827,27370.3232791066
26111.6604095031,28104.7732825862
26331.8128487756,29572.2158190883
29651.459025667,28331.9974262174
27357.6004831131,27389.1365955249
29236.6591377805,29031.5744960172
29442.769968482,26301.6169072153
29531.965638725,27453.960179252
27668.6039430687,29545.1555071985
26177.2059502012,26080.5571504037
25252.0563076444,29790.7349619047
24989.9755331259,26344.8603906775
27807.1095491512,28213.2865924287
27146.0456440126,26109.546784503
28864.0272295896,26439.4861291229
29598.805567827,29664.3835061498
27944.7278550884,28445.3840492853
28288.6532892903,27645.3501864598
26890.3398372058,28965.6172667315
28534.0827776555,29028.2234917286
28686.8868506883,28606.4694616914
25842.6467376447,27121.3972716637
27276.6108205317,26816.2000572735
26882.2812431213,29545.1555071985
29790.7349619047,25555.658200455
26810.3956023492,26139.48774617
27949.8280373236,29343.2160383664
26989.9214992602,27230.4016063094
27542.610293483,26642.8465382845
27238.3502351621,29266.0133638344
27390.1466240926,28352.0807904234
27674.0459585507,27433.896569927
27752.2491806828,26223.7528422496
27228.301845861,26583.8121221939
27269.8709051965,26822.5429050402
26995.1200421302,27054.9994500344
28809.3062312704,28309.9842981516
26465.5404422711,28047.2555155883
28645.5364033667,26541.0538346534
29745.4651245333,28335.7876868402
26697.3258871927,29124.6956451193
27157.6908990424,27433.8790072853
26042.9433311963,27389.4802217439
24769.4250084164,28183.0560346811
28347.6391008218,28352.7897530741
27956.2932439577,28969.5188646327
28164.3163070553,27910.4857251447
27723.5438128005,28862.4522934865
27500.6159572161,27384.769193565
25913.9793749729,27920.6713407557
27709.9197532415,27893.5382272586
27279.5206000418,26277.3161734512
26486.7699404531,28428.1101210065
28866.5247313849,27856.4193943223
28485.7335425441,28001.6672127521
25544.4473231811,27599.2959613361
27600.6827339115,28546.5358533141
27046.8141384882,27739.6195019154
27544.2665055412,26796.3680084215
29688.9403046676,27927.778901555
27301.652322089,29199.8855305834
29739.9122211535,28470.2554913616
27879.3748865094,28781.0459787984
26522.5909766303,27574.6058627112
29316.4577633676,27825.111698342
27476.1196227483,27099.7880674943
29803.2260838035,28186.6742367058
27129.7668692524,27077.8295567788
27301.2491723816,26942.0691363467
29767.4182941433,27432.8559698189
27030.1572274682,28326.0126612251
25693.3801597202,27827.5003796926
28575.2432743899,27444.0209633198
27898.3962932857,29675.8609841472
29291.2267768507,26887.3134894184
28920.7881371935,29060.9499640231
25787.6553825809,29664.3835061498
27633.8545260154,26239.1957027062
29124.6934161348,27543.5998459448
27476.1196227483,27057.1727648618
29433.35676922,27706.2598691133
27871.3719639384,27805.7271952623
28350.1245483233,28569.8589403019
27439.9598723016,28333.0716491663
26972.8214695374,27611.6996543842
28265.8257033308,28475.6111250268
28129.4658466017,28117.9632377644
26702.6076207768,26085.8207425056
25541.744393249,26834.1674662045
26034.7530529129,27798.3272586512
28129.9604719999,26085.8207425056
27692.3666024667,26496.8202223252
28648.4532146111,28950.6712891006
29948.060151145,27000.3387895255
27056.8476966545,27179.3949489083
29006.155805795,27242.172307936
28536.6237602622,25763.9300820287
29116.5988719773,27439.0685154231
26496.0400468371,27905.3018698937
29117.3738415612,28951.4521539484
25467.4811646781,27645.3501864598
28849.8083528275,27994.0376048455
25915.3473418566,29029.4521889318
26808.1532030964,27551.165296926
26171.1663279048,29568.6483595225
26903.3810779365,26152.4373492612
25646.1920243432,28326.0126612251
27229.1583755606,27620.7562773087
27484.5078376761,27439.0685154231
26681.9609521111,27803.8793245316
28253.0087095518,27683.3858264431
26865.1385068591,27407.9987684051
27328.0640993252,28001.6672127521
28136.2999899326,25795.285024906
25909.5348110268,28232.2125603402
29288.0559507475,26775.2275054099
29841.3470740975,28395.7680758905
26323.1084250624,29333.5298377817
28310.3969953032,29573.226201659
26610.1985927732,26874.6676687622
26956.0308402801,28729.9541943578
26940.8173837505,27109.7136555273
28003.4502910635,25788.1885142568
27675.1947413399,29299.6673394353
25602.9814966478,27825.111698342
26977.4331568535,29475.9454680695
27090.6724155887,29299.6673394353
24600.7360985177,27540.6007097003
28415.6422151391,27379.7232365125
27423.4173591676,29265.5758409315
26226.4321739664,27824.1487905352
27293.0222894885,28057.1926108557
25122.3730394241,28475.6111250268
29543.0978900205,28940.1789759191
29339.2448486822,27109.7136555273
26780.0860445389,27806.5311474584
27328.6761406068,26834.1674662045
27488.4379856931,29761.858382919
27217.518233282,29817.9862428386
25469.2770779888,29201.8268479948
29316.1433447668,27808.8380166286
25887.6615774029,27168.9704319486
27368.6526997788,27681.5771974235
26234.8726206137,26725.4882922747
25822.4248020443,28729.9541943578
26710.2091551731,28737.0051078514
26157.6509954555,27727.9021578552
27484.7665528481,28209.2437822216
25930.3402562199,29118.7106505591
28904.8662322664,27439.0685154231
29551.7678913703,27185.45234984
28117.9632377644,28410.2079079413
28772.409220542,27799.5025005853
26837.1727170458,27847.1037911676
26494.6405020223,29324.4417824444
27987.6987420376,27290.0943842204
24656.3315214763,28410.2079079413
24834.3009628613,28734.4281619241
27675.1172757974,27018.9989529809
26624.8342091687,29531.965638725
28891.2146596218,29761.858382919
29027.9970611695,26459.7243207228
27998.584390952,27790.7633257541
29046.437116645,27775.5710762481
27847.0224816887,26204.7538433214
27166.0375130424,28415.8811618266
25909.4154483179,29103.1334640041
29318.4651346468,29433.35676922
26013.2040423498,27680.5139602069
25272.6183624306,28303.6246496108
27206.277747415,29568.6483595225
26797.2327887971,27165.7765166056
27962.0482975635,28518.8412394297
26920.6638711605,29834.7704791775
27966.1094510183,27619.1228156926
27799.4240190075,28249.626542203
29324.4821265584,28029.9579726815
29049.573302618,27351.4396546032
27011.1707215361,27288.8181108819
29047.3731686419,28834.6988491487
26177.9890719063,29568.6483595225
29537.7834293892,28326.0126612251
26035.5928213952,27210.5591133189
25440.1535396079,27591.8417767712
27744.693694903,26821.326445917
29228.8278364041,27448.0605745167
27136.0917236907,27611.6996543842
28752.8956937598,29675.8609841472
26358.521106908,27592.0565898425
27025.353046656,25788.1885142568
27840.6191660494,29515.432114489
27206.1964882688,27089.7449968431
27792.2019549279,29568.6483595225
28690.3521121894,26023.45459108
27154.5206660858,27417.5989557848
26460.9880360601,28213.2865924287
28393.6184610628,27132.8851877871
27313.3886757671,27439.0685154231
28758.4399496843,28215.093088885
26532.6825070656,27879.1108413533
27870.9202377121,27645.3501864598
27894.1361946526,27938.8089743379
26396.5465138187,27185.45234984
27040.1687174432,27546.7075827722
26651.2633920479,26425.9793527749
29222.2393900089,29894.0427824777
29070.4898533479,26967.1565197511
26880.8674870623,28380.5243501554
27002.0879164211,27379.7232365125
25107.3453856617,28546.5358533141
27104.7801524314,29446.559523552
25573.8125598083,28882.9174715066
27533.6827513017,29288.0559507475
27214.3759481365,28213.2865924287
28278.0593989899,27448.0605745167
28149.7142718415,27187.7140767611
25597.3714961439,26907.1916022978
29664.3835061498,26858.9905815431
27873.0149757593,26342.9519132344
26901.7803638749,29493.8642763995
28921.9543874367,27037.0896195295
24112.4735279821,26552.8476663738
28957.6804762058,26664.7718963705
28177.211525381,27268.430972139
27134.1033737679,27664.0597448139
29070.4898533479,27911.7395761033
27609.6316837533,28069.9573281391
27146.5975885762,27304.1790065575
27948.2661914596,27533.5662317622
25288.9549872932,26230.01180092
26972.7759659715,29282.9438810362
26951.7218875814,29151.3108141241
27900.5681704179,27568.4272512286
27070.0919353191,26398.3909744168
26865.7431905154,27886.049239476
28722.5536918347,27337.6065945549
29033.3320120516,28227.762211487
27172.805405623,29783.0059033508
26053.6165270915,27165.7765166056
26762.7515316677,27381.0207009387
27594.7558204588,26725.1379430939
