\begin{tabular}{lllllllll}
\toprule
{} & sdp\_rank4 & sdp\_max\_cut & singval\_rank4 & singval\_max\_cut & sch\_p10\_rank4 & sch\_p10\_max\_cut & sch\_p1\_rank4 & sch\_p1\_max\_cut \\
\midrule
1  &        14 &       11466 &            13 &           11448 &            15 &           11451 &           13 &          11459 \\
2  &        15 &       11436 &            13 &           11438 &            13 &           11456 &           14 &          11430 \\
3  &        14 &       11446 &            14 &           11445 &           461 &           11455 &           26 &          11453 \\
4  &        14 &       11487 &            14 &           11475 &           319 &           11511 &           14 &          11497 \\
5  &        13 &       11462 &            12 &           11462 &            18 &           11451 &           12 &          11471 \\
6  &        13 &        2026 &            13 &            1989 &           105 &            2013 &           13 &           2012 \\
7  &        12 &        1833 &            12 &            1821 &            12 &            1834 &           12 &           1822 \\
8  &        12 &        1834 &            11 &            1833 &            11 &            1840 &           12 &           1831 \\
9  &        12 &        1879 &            12 &            1872 &            12 &            1869 &           12 &           1875 \\
10 &        12 &        1841 &            12 &            1829 &            12 &            1818 &           12 &           1820 \\
11 &        22 &         538 &           138 &             538 &           718 &             538 &          273 &            536 \\
12 &        13 &         532 &            27 &             536 &           190 &             534 &           41 &            534 \\
13 &        11 &         562 &             8 &             560 &            24 &             562 &            8 &            562 \\
14 &        14 &        2994 &            13 &            2995 &            22 &            2992 &           14 &           2999 \\
15 &        16 &        2979 &            99 &            2982 &           173 &            2986 &          122 &           2983 \\
16 &        16 &        2978 &            14 &            2981 &           195 &            2984 &           15 &           2984 \\
17 &        16 &        2978 &            13 &            2975 &           152 &            2974 &           15 &           2974 \\
18 &        11 &         924 &            10 &             930 &            12 &             921 &           11 &            929 \\
19 &        10 &         850 &             9 &             846 &             9 &             854 &            9 &            851 \\
20 &         9 &         888 &             8 &             882 &             8 &             889 &            8 &            884 \\
21 &        10 &         868 &            33 &             864 &            52 &             862 &           41 &            863 \\
22 &        18 &       13008 &            18 &           13006 &            18 &           13003 &           18 &          13025 \\
23 &        20 &       13010 &            52 &           12985 &            78 &           13010 &           55 &          13004 \\
24 &        19 &       13000 &            18 &           13004 &            22 &           13005 &           19 &          13010 \\
25 &        19 &       13006 &            19 &           12988 &           196 &           13026 &           19 &          12987 \\
26 &        19 &       12971 &           132 &           12985 &           181 &           12969 &          120 &          12990 \\
27 &        18 &        2988 &            17 &            2988 &            17 &            3027 &           18 &           2989 \\
28 &        20 &        2956 &            20 &            2948 &            54 &            2947 &           20 &           2956 \\
29 &        18 &        3044 &            17 &            3056 &            23 &            3050 &           17 &           3038 \\
30 &        17 &        3076 &            17 &            3081 &            17 &            3076 &           17 &           3067 \\
31 &        19 &        2947 &            18 &            2955 &            18 &            2959 &           18 &           2958 \\
\bottomrule
\end{tabular}
