logdet_cut_optval,logdet_optval,logdet_rank,sdp_cut_optval,sdp_optval,sdp_rank
1413,1453.5,6,1407,1453.5,9
1427,1477.8,5,1434,1477.8,7
1405,1448.5,6,1404,1448.6,9
1380,1436.8,5,1377,1436.8,10
1423,1468.9,5,1421,1468.9,8
1396,1451.6,6,1395,1451.6,8
1425,1474.9,5,1419,1474.9,7
1426,1468.2,4,1421,1468.3,7
1411,1456.7,5,1407,1456.8,7
1419,1472.7,5,1422,1472.7,7
1418,1462.6,4,1422,1462.6,12
1424,1475.7,5,1423,1475.7,6
1374,1435.3,6,1383,1435.3,8
1395,1440.9,5,1405,1440.9,9
1400,1451.4,5,1397,1451.5,7
1413,1464.8,6,1417,1464.8,7
1443,1475.5,5,1441,1475.5,7
1442,1487,5,1445,1487,7
1423,1467.1,5,1412,1467.2,8
1436,1481.8,5,1438,1481.9,8
1448,1497.7,6,1454,1497.7,6
1390,1437.9,4,1398,1437.9,6
1385,1437.8,7,1388,1437.8,7
1461,1499.1,5,1443,1499.1,7
1418,1462.4,5,1411,1462.4,12
1424,1470.9,5,1425,1470.9,8
1395,1442.9,5,1392,1442.9,5
1446,1491.9,5,1441,1492,6
1420,1465,5,1414,1465,7
1421,1475.5,5,1431,1475.6,9
1419,1471.7,6,1426,1471.7,8
1388,1439.8,5,1391,1439.9,6
1438,1481.2,5,1431,1481.2,8
1426,1465.2,5,1422,1465.2,12
1427,1469.6,4,1420,1469.6,6
1431,1482.9,5,1429,1482.9,8
1419,1464.6,5,1423,1464.6,6
1394,1447,5,1403,1447,9
1413,1465.3,5,1411,1465.3,7
1398,1449.5,5,1398,1449.5,11
1454,1495.7,4,1458,1495.8,6
1416,1460.4,4,1409,1460.5,6
1419,1470.2,5,1425,1470.2,7
1434,1469.4,4,1428,1469.4,6
1400,1454,5,1398,1454,10
1412,1467.1,5,1413,1467.1,9
1390,1438.4,5,1386,1438.4,8
1418,1468.6,5,1421,1468.6,6
1375,1424.6,6,1387,1424.6,10
1426,1478.4,6,1421,1478.4,12
1450,1506.1,5,1460,1506.1,9
1405,1441.2,5,1400,1441.2,7
1421,1466.3,4,1418,1466.4,10
1416,1462.1,5,1411,1462.1,7
